churn,Customer_ID
0.000,2000001.000
0.000,2000002.000
0.000,2000003.000
0.000,2000004.000
0.000,2000005.000
0.000,2000006.000
0.000,2000007.000
0.000,2000008.000
0.000,2000009.000
0.000,2000010.000
0.000,2000011.000
0.000,2000012.000
0.000,2000013.000
0.000,2000014.000
0.000,2000015.000
0.000,2000016.000
0.000,2000017.000
0.000,2000018.000
0.000,2000019.000
0.000,2000020.000
0.000,2000021.000
0.000,2000022.000
0.000,2000023.000
0.000,2000024.000
0.000,2000025.000
0.000,2000026.000
0.000,2000027.000
0.000,2000028.000
0.000,2000029.000
0.000,2000030.000
0.000,2000031.000
0.000,2000032.000
0.000,2000033.000
0.000,2000034.000
0.000,2000035.000
0.000,2000036.000
0.000,2000037.000
0.000,2000038.000
0.000,2000039.000
0.000,2000040.000
0.000,2000041.000
0.000,2000042.000
0.000,2000043.000
0.000,2000044.000
0.000,2000045.000
0.000,2000046.000
0.000,2000047.000
0.000,2000048.000
0.000,2000049.000
0.000,2000050.000
0.000,2000051.000
0.000,2000052.000
0.000,2000053.000
0.000,2000054.000
0.000,2000055.000
0.000,2000056.000
0.000,2000057.000
0.000,2000058.000
0.000,2000059.000
0.000,2000060.000
0.000,2000061.000
0.000,2000062.000
0.000,2000063.000
0.000,2000064.000
0.000,2000065.000
0.000,2000066.000
0.000,2000067.000
0.000,2000068.000
0.000,2000069.000
0.000,2000070.000
0.000,2000071.000
0.000,2000072.000
0.000,2000073.000
0.000,2000074.000
0.000,2000075.000
0.000,2000076.000
0.000,2000077.000
0.000,2000078.000
0.000,2000079.000
0.000,2000080.000
0.000,2000081.000
0.000,2000082.000
0.000,2000083.000
0.000,2000084.000
0.000,2000085.000
0.000,2000086.000
0.000,2000087.000
0.000,2000088.000
0.000,2000089.000
0.000,2000090.000
0.000,2000091.000
0.000,2000092.000
0.000,2000093.000
1.000,2000094.000
0.000,2000095.000
0.000,2000096.000
0.000,2000097.000
0.000,2000098.000
0.000,2000099.000
0.000,2000100.000
0.000,2000101.000
0.000,2000102.000
0.000,2000103.000
0.000,2000104.000
0.000,2000105.000
0.000,2000106.000
0.000,2000107.000
0.000,2000108.000
0.000,2000109.000
0.000,2000110.000
0.000,2000111.000
0.000,2000112.000
0.000,2000113.000
0.000,2000114.000
0.000,2000115.000
1.000,2000116.000
0.000,2000117.000
0.000,2000118.000
0.000,2000119.000
0.000,2000120.000
0.000,2000121.000
0.000,2000122.000
0.000,2000123.000
0.000,2000124.000
0.000,2000125.000
0.000,2000126.000
