churn,Customer_ID
0.000,3000001.000
0.000,3000002.000
0.000,3000003.000
0.000,3000004.000
0.000,3000005.000
0.000,3000006.000
0.000,3000007.000
0.000,3000008.000
0.000,3000009.000
0.000,3000010.000
0.000,3000011.000
0.000,3000012.000
0.000,3000013.000
0.000,3000014.000
0.000,3000015.000
0.000,3000016.000
0.000,3000017.000
0.000,3000018.000
0.000,3000019.000
0.000,3000020.000
0.000,3000021.000
0.000,3000022.000
0.000,3000023.000
0.000,3000024.000
0.000,3000025.000
0.000,3000026.000
0.000,3000027.000
0.000,3000028.000
0.000,3000029.000
0.000,3000030.000
0.000,3000031.000
0.000,3000032.000
0.000,3000033.000
0.000,3000034.000
0.000,3000035.000
0.000,3000036.000
0.000,3000037.000
0.000,3000038.000
0.000,3000039.000
0.000,3000040.000
0.000,3000041.000
0.000,3000042.000
0.000,3000043.000
0.000,3000044.000
0.000,3000045.000
0.000,3000046.000
0.000,3000047.000
0.000,3000048.000
0.000,3000049.000
0.000,3000050.000
0.000,3000051.000
0.000,3000052.000
0.000,3000053.000
0.000,3000054.000
0.000,3000055.000
0.000,3000056.000
0.000,3000057.000
0.000,3000058.000
0.000,3000059.000
0.000,3000060.000
0.000,3000061.000
0.000,3000062.000
0.000,3000063.000
0.000,3000064.000
0.000,3000065.000
0.000,3000066.000
0.000,3000067.000
0.000,3000068.000
0.000,3000069.000
0.000,3000070.000
0.000,3000071.000
0.000,3000072.000
0.000,3000073.000
0.000,3000074.000
0.000,3000075.000
0.000,3000076.000
0.000,3000077.000
0.000,3000078.000
0.000,3000079.000
0.000,3000080.000
0.000,3000081.000
0.000,3000082.000
0.000,3000083.000
0.000,3000084.000
0.000,3000085.000
0.000,3000086.000
0.000,3000087.000
0.000,3000088.000
0.000,3000089.000
0.000,3000090.000
0.000,3000091.000
0.000,3000092.000
0.000,3000093.000
0.000,3000094.000
0.000,3000095.000
0.000,3000096.000
0.000,3000097.000
0.000,3000098.000
0.000,3000099.000
0.000,3000100.000
0.000,3000101.000
0.000,3000102.000
0.000,3000103.000
0.000,3000104.000
0.000,3000105.000
0.000,3000106.000
0.000,3000107.000
0.000,3000108.000
0.000,3000109.000
0.000,3000110.000
0.000,3000111.000
0.000,3000112.000
0.000,3000113.000
0.000,3000114.000
0.000,3000115.000
0.000,3000116.000
0.000,3000117.000
0.000,3000118.000
0.000,3000119.000
0.000,3000120.000
0.000,3000121.000
0.000,3000122.000
0.000,3000123.000
0.000,3000124.000
0.000,3000125.000
0.000,3000126.000
0.000,3000127.000
0.000,3000128.000
0.000,3000129.000
0.000,3000130.000
0.000,3000131.000
0.000,3000132.000
0.000,3000133.000
0.000,3000134.000
0.000,3000135.000
0.000,3000136.000
0.000,3000137.000
0.000,3000138.000
0.000,3000139.000
0.000,3000140.000
0.000,3000141.000
0.000,3000142.000
0.000,3000143.000
0.000,3000144.000
0.000,3000145.000
0.000,3000146.000
0.000,3000147.000
0.000,3000148.000
0.000,3000149.000
0.000,3000150.000
0.000,3000151.000
0.000,3000152.000
0.000,3000153.000
0.000,3000154.000
0.000,3000155.000
0.000,3000156.000
0.000,3000157.000
0.000,3000158.000
0.000,3000159.000
0.000,3000160.000
0.000,3000161.000
1.000,3000162.000
0.000,3000163.000
0.000,3000164.000
0.000,3000165.000
0.000,3000166.000
0.000,3000167.000
0.000,3000168.000
0.000,3000169.000
0.000,3000170.000
1.000,3000171.000
0.000,3000172.000
0.000,3000173.000
0.000,3000174.000
0.000,3000175.000
0.000,3000176.000
0.000,3000177.000
0.000,3000178.000
0.000,3000179.000
0.000,3000180.000
0.000,3000181.000
0.000,3000182.000
0.000,3000183.000
0.000,3000184.000
0.000,3000185.000
0.000,3000186.000
0.000,3000187.000
0.000,3000188.000
0.000,3000189.000
0.000,3000190.000
1.000,3000191.000
0.000,3000192.000
0.000,3000193.000
0.000,3000194.000
0.000,3000195.000
0.000,3000196.000
0.000,3000197.000
0.000,3000198.000
0.000,3000199.000
0.000,3000200.000
0.000,3000201.000
0.000,3000202.000
0.000,3000203.000
0.000,3000204.000
0.000,3000205.000
0.000,3000206.000
0.000,3000207.000
0.000,3000208.000
0.000,3000209.000
0.000,3000210.000
0.000,3000211.000
0.000,3000212.000
0.000,3000213.000
0.000,3000214.000
0.000,3000215.000
0.000,3000216.000
0.000,3000217.000
0.000,3000218.000
0.000,3000219.000
0.000,3000220.000
0.000,3000221.000
0.000,3000222.000
0.000,3000223.000
0.000,3000224.000
0.000,3000225.000
0.000,3000226.000
0.000,3000227.000
0.000,3000228.000
0.000,3000229.000
0.000,3000230.000
0.000,3000231.000
0.000,3000232.000
0.000,3000233.000
0.000,3000234.000
0.000,3000235.000
